local_date_time,offset
2015 -03 -08 01:00:00, -7
2015 -03 -08 01:30:00, -7
2015 -03 -08 02:00:00, -7
2015 -03 -08 02:30:00, -7
2015 -03 -08 03:00:00, -7
2015 -03 -08 02:00:00, -6
2015 -03 -08 02:30:00, -6
2015 -03 -08 03:00:00, -6
2015 -03 -08 03:30:00, -6
2015 -11 -01 00:30:00, -6
2015 -11 -01 01:00:00, -6
2015 -11 -01 01:30:00, -6
2015 -11 -01 02:00:00, -6
2015 -11 -01 02:30:00, -6
2015 -11 -01 01:00:00, -7
2015 -11 -01 01:30:00, -7
2015 -11 -01 02:00:00, -7
2015 -11 -01 02:30:00, -7
2015 -11 -01 03:00:00, -7
